Time,City,District,Longitude,Latitude,Geohash
109年11月29日 15時40分59秒,南投縣,中寮鄉,120.768593,23.859947,wsjzspt420mz
109年05月30日 22時20分03秒,南投縣,仁愛鄉,121.155070,24.027743,wsq0syn7txzv
109年10月16日 12時40分00秒,南投縣,仁愛鄉,121.111344,24.008030,wsq0efw8fv5m
109年11月12日 10時08分00秒,南投縣,仁愛鄉,121.134375,24.023740,wsq0smrk7t8x
109年11月30日 12時34分52秒,南投縣,仁愛鄉,121.123946,23.961987,wsq0k4pu8w0h
109年01月14日 02時20分03秒,南投縣,信義鄉,120.939790,23.792636,wsnp253djkgd
109年07月19日 11時00分03秒,南投縣,信義鄉,120.987632,23.667976,wsnn9hsebnt0
109年01月08日 07時17分00秒,南投縣,南投市,120.684359,23.900542,wsjzfnzwtruq
109年06月25日 11時04分49秒,南投縣,南投市,120.677505,23.917964,wsmb444sjxts
109年08月21日 11時29分00秒,南投縣,南投市,120.672678,23.919450,wsmb1frhvhwm
109年08月27日 21時14分00秒,南投縣,南投市,120.663076,23.945691,wsmb1z0jv2qd
109年09月23日 05時57分16秒,南投縣,南投市,120.672914,23.881318,wsjzcgrqf8q6
109年11月19日 22時46分00秒,南投縣,南投市,120.655049,23.953285,wsmb38d3frvq
109年01月05日 14時26分00秒,南投縣,名間鄉,120.691822,23.831218,wsjzd6m4gm10
109年01月15日 18時45分00秒,南投縣,名間鄉,120.695962,23.836941,wsjzde2h5zb5
109年02月04日 20時05分01秒,南投縣,名間鄉,120.701804,23.856058,wsjzdwu7egs3
109年07月20日 05時59分00秒,南投縣,名間鄉,120.636395,23.865479,wsjzc0sdrxxz
109年08月21日 09時14分50秒,南投縣,名間鄉,120.656538,23.859106,wsjz9x7mm5ex
109年03月17日 18時30分00秒,南投縣,國姓鄉,120.866945,23.983540,wsmbqqhd5zyk
109年07月12日 07時19分14秒,南投縣,國姓鄉,120.901195,23.983367,wsmbrnj94p9h
109年02月29日 17時25分42秒,南投縣,埔里鎮,121.003461,23.977598,wsq03sbp9h0p
